Question,Answer1,Answer2,Answer3,Answer4,Correct
"२०७२ साल, बैशाख १२ गते गएको भुकम्पको केन्द्रबिन्दु कहाँ थियो ?",Sindupalchowk,"Besisahar, Lamjung","Barpak, Gorkha",Rasuwa,
नेपाल मा सबै भन्दा धेरै कुन धर्मबलम्बि हरु छन् ?,Hindu,Christian,Muslim,Buddhist,
"जनशंख्याको आधारमा नेपाल, विश्वमा कतिवौ स्थानमा पर्दछ ?",51,49,52,50,
Bhajhang जिल्लाको सदरमुकाम कुन हो ?,Chainpur,Martadi,Dhangadi,Silgadi,
भानुभक्त आचार्यको जन्म कहिले भएको थियो ?,BS 1871 Mangshir 29,BS 1869 Jestha 17,BS 1875 Baisak 15,BS 1871 Asar 29,
लिम्बू भाषामा प्रयोग गरिने लिपि कुन हो ?,ब्रह्मलिपि,देवनागरी,सिरीजङ्घा,संस्कृत,
तामाङहरुले कुन दिन गर्ने पूजालाई ‘नारो’ भनिन्छ ?,श्रावण पूर्णिमा,फाल्गु पूर्णिमा,चैत्र पूर्णिमा,बैशाख पूर्णिमा,
"राजनीतिको मुख्य उदेश्य समाज र मानिस लाई नैतिकवान बनाउनु हो, यो भनाइ कसको हो?",महात्मा गान्धी,सुकरात (Socrates),अरस्तु (Aristotle),कार्ल मार्क्स (Karl Marx),
पशुपति नाथलाई मुख______  का दिन मुकुट लगाइ दिने चलन छ।,सतामी,अष्टमी,नवमी,दशमी,
टकबहादुर राईले किराँत राई चाम्लिंग भाषामा लेखिएको महाकाव्य कुन हो ?,पारुहंग र सुम्निमा,सुम्निमा,तोयाँमा खिल्यामा,पारुहंग,
France को राज्यक्रान्तिमा मध्यम वर्गमा को को पर्दथे ?,सबै उत्तर ठिक छन्,"डाक्टर, वकिल, ब्यापारी, लेखक","सिल्पकर, कलीगढ़",किसन र मजदुर,
"नेपालको इतीहासमा ""बहादुर समसेर जंग"" पदवी पाउने ऐतीहासिक व्यक्ति को हुन् ?",बलभद्र कुँवर,पृथ्वीनारयण शाह,जंगबहादुर राणा,भीमसेन थापा,
रोम सहर कुन नदीको किनारमा रहेको छ?,टाईबर नदि,टिग्री,सिन,नाइल,
Church लाई धार्मिक करको रुपमा बुझाउनु पर्ने करलाई के भनिन्थ्यो?,नुन कर,भिनतेम्स,टिथे,केपिटेसन,
नेपालमा प्रजातन्त्रको प्रादुभाव कहिले भयो ?,२००७ फागुन ७,२००७ फागुन ९,२००७ फागुन ३,२००७ फागुन ४,
Abraham Lincoln को आमा को नाम के थियो ?,Anna Lincoln,Marry Lincoln,Stephin Lincoln,Nancy Lincoln,
पंचायती व्यबस्ताको अन्तिम प्रधानमन्त्री को हुन् ?,Marichman Singh,Krishna Prasad Bhattarai,Surya Bahadur Thapa,Lokendra Bahadur Chand,
2013 AD December 10 मा फाँसी दिईएका ६५ बर्षिय Abdul Quader Molla कुन SAARC राष्ट्रका कट्टरपन्थी इस्लामिक नेता हुन् ?,Pakistan,India,Bangladesh,Afghanistan,
महात्मा गान्धी कहिले  South Africa  बाट स्वदेश फ़र्के ?,1915,1914,1912,1955,
कार्ल मार्क्सको जन्म कहाँ भएको थियो ?,Japan,France,London,Germany,
राजा विरेन्द्रबाट प्रतिनिधिसभाको विघटन कहिले गरिबक्सियो ?,२०५१ मंसिर ०५,२०५१ मंसिर १०,२०५१ मंसिर २७,२०५१ मंसिर १५,
बहुपक्षिय व्यापार सञ्चालन विश्व व्यापार संगठनको सदस्यता प्राप्त गर्ने नेपाल कति औं राष्ट्र हो ?,109,119,147,133,
नेपाल सरकारले विकाश ऋण कहिले बाट प्रयोग मा ल्याएको हो ?,BS 2019,BS 2017,BS 2018,BS 2028,
उपभोक्ता माथि सिधै लगाइने कारलाई के भनिन्छ ?,Specific Duty,प्रत्यक्ष कर,अप्रत्यक्ष कर,कुनै पनि होइन,
नेपाल बाट सबै भन्दा नजिक रहेको समुन्द्री किनारा कती KM टाढा छ ?,1139 KM,1221 KM,1126 KM,1016 KM,
Which is the South Asian nation that has prohibited the sale of cigarette in its territory?,Sri Lanka,Afgan,Maldives,Bhutan,
How many temporary members are there in security council of U.N.O.?,5,10,15,20,
